Banco,Contrato,Origen,Tipo archivo recaudo,Cuenta
american express us consumer,industria y comercio,n,pagos web,3
confiar cooperativa financiera,servicios,n,pagos web,3
confiar cooperativa financiera,retencion ica,n,pagos web,3
visa,impuesto predial,a,pagos web,3
confiar cooperativa financiera,industria y comercio,a,pagos web,3
american express company,industria y comercio,n,pagos web,3
santander consumer bank ag,impuesto predial,p,pagos web,3
visa - visa,impuesto predial,w,pagos web,3
fia card services n.a.,impuesto predial,p,pagos web,3
visa - visa,industria y comercio,p,pagos web,3
home trust company,impuesto predial,p,pagos web,3
banco de bogota,impuesto telefonico,n,pagos web,3
banco bbva colombia s.a.,movilidad,n,pagos web,3
goldman sachs bank usa,impuesto predial,a,pagos web,3
scotiabank colpatria s.a.,industria y comercio,w,pagos web,3
daviplata,impuesto telefonico,p,pagos web,3
"td bank, n.a.",impuesto predial,n,pagos web,3
banco bogota,industria y comercio,a,pagos web,3
banco bogota,circulacion y transito,p,pagos web,3
country day,impuesto predial,p,pagos web,3
banco bbva colombia,industria y comercio,p,pagos web,3
servicios financieros carrefou,impuesto predial,p,pagos web,3
"credicard, s.a.",impuesto predial,p,pagos web,3
dale,impuesto predial,n,pagos web,3
"credit agricole, s.a.",impuesto predial,p,pagos web,3
credit industriel et commercia,impuesto predial,p,pagos web,3
"first gulf bank, n.a.",impuesto predial,p,pagos web,3
banco de occidente,delineación urbana,n,pagos web,3
credit lyonnais,impuesto predial,p,pagos web,3
firstcaribbean international b,impuesto predial,p,pagos web,3
sovereign bank,impuesto predial,n,pagos web,3
ge capital finance australia,impuesto predial,p,pagos web,3
banco caja social,delineación urbana,n,pagos web,3
banco caja social,industria y comercio,w,pagos web,3
banco davivienda,espectaculos publicos,n,pagos web,3
banco caja social,servicios,p,pagos web,3
avvillas,otros ingresos,presencial,pagos presencial,3
verband der sparda banken e.v.,impuesto predial,p,pagos web,3
banagrario,impuesto predial,n,pagos web,3
banco cooperativo coopcentral,impuesto telefonico,p,pagos web,3
finandina,circulacion y transito,p,pagos web,3
bancar tecnologia co sa compan,impuesto predial,p,pagos web,3
banco coomeva s.a.,facilidades,p,pagos web,3
u.s. bank n.a. nd,impuesto predial,p,pagos web,3
banco colpatria pricesmart,impuesto telefonico,p,pagos web,3
banco bbva colombia s.a.,otros ingresos,n,pagos web,3
banco colpatria pricesmart,facilidades,n,pagos web,3
banco av villas,ingresos no tributarios,p,pagos web,3
toronto-dominion bank,impuesto predial,n,pagos web,3
cotrafa,circulacion y transito,p,pagos web,3
scotiabank colpatria,transferencias,p,pagos web,3
banco colpatria,movilidad,p,pagos web,3
banco caja social s.a.,circulacion y transito,n,pagos web,3
finandina,facilidades,n,pagos web,3
bogota_1,recursos fonset,presencial,pagos presencial,3
"europay norge, a.s.",impuesto predial,p,pagos web,3
"hsbc mexico, s.a. institucion",impuesto predial,p,pagos web,3
citibank,rentas contractuales,p,pagos web,3
"capital one bank (usa), n.a.",facilidades,p,pagos web,3
banco popular,ingresos no tributarios,p,pagos web,3
bbva,industria y comercio,n,pagos web,3
banco popular,impuesto predial,w,pagos web,3
"capital bank, inc.",impuesto predial,p,pagos web,3
banco pichincha s.a.,rendimientos financieros y recursos no ejecutados,p,pagos web,3
citibank na,facilidades,p,pagos web,3
banco pichincha s.a.,impuesto predial,a,pagos web,3
pomelo tecnologia sas,impuesto predial,p,pagos web,3
canadian imperial bank of comm,impuesto predial,n,pagos web,3
bbva colombia s.a,circulacion y transito,p,pagos web,3
inversora pichincha,facilidades,p,pagos web,3
monzo bank limited,impuesto predial,p,pagos web,3
clara,industria y comercio,n,pagos web,3
koho financial incorporated,impuesto predial,p,pagos web,3
ing bank n.v.,impuesto predial,p,pagos web,3
mmg bank corporation,impuesto predial,n,pagos web,3
popular,cuotas partes jubilatorias,presencial,pagos presencial,3
"banco nacional de credito, c.a",impuesto predial,p,pagos web,3
popular,publicidad exterior visual,presencial,pagos presencial,3
colpatria,industria y comercio,a,pagos web,3
pse - cuentas débito ahorro y,delineación urbana,p,pagos web,3
banco itau,aprov.esp.pub,p,pagos web,3
banco itau,alumbrado publico,a,pagos web,3
bbva,estampilla procultura,presencial,pagos presencial,3
banco santander,facilidades,n,pagos web,3
movii sa,impuesto predial,a,pagos web,3
bancolombia cayman,impuesto predial,a,pagos web,3
nu pagamentos sa,aprov.esp.pub,n,pagos web,3
nequi,delineación urbana,n,pagos web,3
nu pagamentos sa,delineación urbana,p,pagos web,3
itaú,ingresos no tributarios,p,pagos web,3
"itau corpbanca colombia, s.a.",rentas contractuales,p,pagos web,3
cfa cooperativa financiera,circulacion y transito,p,pagos web,3
bancolombia s.a.- nequi,circulacion y transito,n,pagos web,3
cfa cooperativa financiera,industria y comercio,n,pagos web,3
card services for credit union,facilidades,p,pagos web,3
bancolombia s.a.,otros ingresos,p,pagos web,3
charles schwab bank,impuesto predial,p,pagos web,3
"bb and t financial, f.s.b.",impuesto predial,p,pagos web,3
banco santander colombia,retencion ica,n,pagos web,3
bbva,circulacion y transito,a,pagos web,3
"chase bank usa, n.a.",industria y comercio,p,pagos web,3
bancolombia,impuesto telefonico,a,pagos web,3
"itau corpbanca colombia, s.a.",alumbrado publico,p,pagos web,3
"capital one bank (usa), nation",facilidades,p,pagos web,3
choice financial group,impuesto predial,p,pagos web,3
bancolombia,circulación pico y placa,presencial,pagos presencial,3
banco de occidente,industria y comercio,w,pagos web,3
"banco santander, s.a.",impuesto predial,p,pagos web,3
banco santander s.a,impuesto predial,p,pagos web,3
banco santander s.a,facilidades,p,pagos web,3
pse - cuentas débito ahorro y,impuesto predial,n,pagos web,3
caja social bcs,impuesto predial,a,pagos web,3
caja rural de almeria y malaga,impuesto predial,p,pagos web,3
rappipay,industria y comercio,a,pagos web,3
compania de financiamiento tuy,aprov.esp.pub,n,pagos web,3
rappipay,circulacion y transito,p,pagos web,3
bcsc,facilidades,a,pagos web,3
banco falabella,rentas contractuales,n,pagos web,3
banco gnb sudameris,movilidad,p,pagos web,3
"caixabank, s.a.",impuesto predial,p,pagos web,3
banco falabella,publicidad exterior visual,p,pagos web,3
caixa d'estalvis unio de caixe,impuesto predial,p,pagos web,3
banco falabella,delineación urbana,p,pagos web,3
lulo bank sa,industria y comercio,p,pagos web,3
banco falabella,aprov.esp.pub,p,pagos web,3
purdue f.c.u.,impuesto predial,p,pagos web,3
banco estado,servicios,n,pagos web,3
"banco del pacifico, s.a.",impuesto predial,p,pagos web,3
lulo bank sa,impuesto predial,n,pagos web,3
"banco de occidente, s.a.",impuesto telefonico,p,pagos web,3
compania de financiamiento tuy,retencion ica,p,pagos web,3
compañía american express,impuesto predial,p,pagos web,3
bogota_1,transferencias,presencial,pagos presencial,3
"rappipay, s.a.s.",delineación urbana,p,pagos web,3
lulo bank,industria y comercio,p,pagos web,3
banco de occidente,servicios,n,pagos web,3
banco falabella,retencion ica,p,pagos web,3
bank of america,facilidades,n,pagos web,3
community federal savings bank,impuesto predial,p,pagos web,3
commonwealth bank of australia,impuesto predial,n,pagos web,3
hsbc bank middle east,impuesto predial,p,pagos web,3
hsbc bank middle east,impuesto predial,a,pagos web,3
metabank,impuesto predial,n,pagos web,3
mbna,impuesto predial,p,pagos web,3
banco finandina s.a. bic,impuesto predial,p,pagos web,3
pse - cuentas débito ahorro y,retencion ica,p,pagos web,3
pse - cuentas débito ahorro y,transferencias,p,pagos web,3
coltefinanciera,industria y comercio,n,pagos web,3
westpac banking corporation,impuesto predial,p,pagos web,2
viseca payment services sa,impuesto predial,p,pagos web,2
national westminster bank plc,impuesto predial,n,pagos web,2
falabella,delineación urbana,p,pagos web,2
itaú,rendimientos financieros y recursos no ejecutados,p,pagos web,2
financiera juriscoop,impuesto predial,a,pagos web,2
financiera coomeva,facilidades,n,pagos web,2
national bank of kuwait (s.a.k,impuesto predial,p,pagos web,2
falabella,circulacion y transito,a,pagos web,2
metro c.u.,facilidades,n,pagos web,2
u.s. bank national association,impuesto predial,n,pagos web,2
itaú,movilidad,p,pagos web,2
falabella,alumbrado publico,p,pagos web,2
fairstone bank of canada,impuesto predial,p,pagos web,2
la banque postale,impuesto predial,p,pagos web,2
metabank,impuesto predial,p,pagos web,2
la federation des caisses desj,impuesto predial,n,pagos web,2
nequi,delineación urbana,p,pagos web,2
la federation des caisses desj,impuesto predial,p,pagos web,2
nequi,impuesto telefonico,n,pagos web,2
westpac banking corporation,impuesto predial,a,pagos web,2
itaú,facilidades,a,pagos web,2
western capital bank,impuesto predial,p,pagos web,2
wells fargo bank n.a.,impuesto predial,a,pagos web,2
lulo bank,alumbrado publico,p,pagos web,2
"jpmorgan chase bank, n.a.",facilidades,p,pagos web,2
"vales intercontinentales, s.a.",impuesto predial,p,pagos web,2
"jpmorgan chase bank, n.a.",facilidades,n,pagos web,2
movii sa,facilidades,p,pagos web,2
lge community c.u.,impuesto predial,p,pagos web,2
usaa savings bank,impuesto predial,a,pagos web,2
visa,industria y comercio,a,pagos web,2
visions f.c.u.,impuesto predial,p,pagos web,2
federation des caisses desjard,impuesto predial,a,pagos web,2
jeeves technologies colombia s,industria y comercio,p,pagos web,2
lulo bank,facilidades,a,pagos web,2
movii sa,industria y comercio,a,pagos web,2
united nations f.c.u.,impuesto predial,p,pagos web,2
financiera comultrasan,impuesto predial,p,pagos web,2
monzo bank limited,impuesto predial,n,pagos web,2
macy's,impuesto predial,p,pagos web,2
ubs switzerland ag,impuesto predial,p,pagos web,2
movii s.a.,impuesto predial,a,pagos web,2
"u.s. bank, n.a.",impuesto predial,p,pagos web,2
university of wisconsin c.u.,impuesto predial,p,pagos web,2
"rappipay, s.a.s.",servicios,n,pagos web,2
itaú,circulacion y transito,n,pagos web,2
ing bank n.v.,impuesto predial,n,pagos web,2
saudi british bank,impuesto predial,p,pagos web,2
savings institute,impuesto predial,p,pagos web,2
"grupo absa, ltd",servicios,n,pagos web,2
"hsbc bank nevada, n.a.",industria y comercio,n,pagos web,2
pse - cuentas débito ahorro y,transferencias,n,pagos web,2
pse - cuentas débito ahorro y,rentas contractuales,a,pagos web,2
pse - cuentas débito ahorro y,rendimientos financieros y recursos no ejecutados,n,pagos web,2
pse - cuentas débito ahorro y,otros ingresos,p,pagos web,2
scotiabank colpatria,ingresos no tributarios,n,pagos web,2
hsbc bank usa national associa,impuesto predial,p,pagos web,2
pse - cuentas débito ahorro y,otros ingresos,n,pagos web,2
pse - cuentas débito ahorro y,estampilla procultura,p,pagos web,2
pse - cuentas débito ahorro y,circulacion y transito,a,pagos web,2
postepay s.p.a,impuesto predial,p,pagos web,2
postepay s.p.a,impuesto predial,n,pagos web,2
santander uk plc,impuesto predial,p,pagos web,2
hsbc bank (singapore) limited,impuesto predial,n,pagos web,2
hsbc,facilidades,n,pagos web,2
lulo bank,industria y comercio,n,pagos web,2
redeban multicolor s.a.,circulacion y transito,p,pagos web,2
regions bank,impuesto predial,n,pagos web,2
hsbc bank,impuesto predial,p,pagos web,2
"republic bank, ltd.",impuesto predial,p,pagos web,2
revolut ltd,impuesto predial,n,pagos web,2
hsbc - bestbuy,impuesto predial,p,pagos web,2
"rappipay, s.a.s.",circulacion y transito,a,pagos web,2
rappipay,facilidades,p,pagos web,2
ripley visa,facilidades,n,pagos web,2
rappipay daviplata,impuesto predial,n,pagos web,2
sabana bank,impuesto predial,p,pagos web,2
san diego county c.u.,impuesto predial,p,pagos web,2
rappipay,impuesto predial,a,pagos web,2
"santander consumo, s.a. de c.v",impuesto predial,n,pagos web,2
popular,aprov.esp.pub,presencial,pagos presencial,2
scotiabank colpatria s.a.,alumbrado publico,a,pagos web,2
nu pagamentos sa,alumbrado publico,n,pagos web,2
ing belgium,impuesto predial,p,pagos web,2
nu pagamentos sa,rentas contractuales,n,pagos web,2
"itau corpbanca colombia, s.a.",alumbrado publico,n,pagos web,2
"itau corpbanca colombia, s.a.",circulacion y transito,n,pagos web,2
frontier bank,impuesto predial,p,pagos web,2
nu pagamentos sa,publicidad exterior visual,p,pagos web,2
nu pagamentos sa,impuesto telefonico,p,pagos web,2
firstbank,impuesto predial,p,pagos web,2
space coast c.u.,servicios,n,pagos web,2
first national bank of omaha,impuesto predial,p,pagos web,2
"first century bank, n.a.",impuesto predial,p,pagos web,2
"itau corpbanca colombia, s.a.",publicidad exterior visual,p,pagos web,2
"st. george bank, ltd.",impuesto predial,p,pagos web,2
swiss post,impuesto predial,p,pagos web,2
synchrony bank,impuesto predial,n,pagos web,2
itau unibanco s.a.,industria y comercio,n,pagos web,2
socur sa,impuesto predial,p,pagos web,2
six bbs ag,impuesto predial,p,pagos web,2
servicios financieros carrefou,impuesto predial,n,pagos web,2
"scotiabank de costa rica, s.a.",impuesto predial,p,pagos web,2
international card services bv,impuesto predial,p,pagos web,2
pomelo tecnologia sas,servicios,n,pagos web,2
pomelo tecnologia sas,industria y comercio,n,pagos web,2
inversora pichincha,industria y comercio,p,pagos web,2
iris,espectaculos publicos,p,pagos web,2
scotiabank colpatria s.a.,movilidad,p,pagos web,2
"pnc bank, global investment se",impuesto predial,a,pagos web,2
open bank s.a.,impuesto predial,p,pagos web,2
pentagon f.c.u.,impuesto predial,p,pagos web,2
pentagon f.c.u.,impuesto predial,n,pagos web,2
itau corpbanca,servicios,n,pagos web,2
payoneer europe limited,industria y comercio,p,pagos web,2
payoneer europe limited,impuesto predial,a,pagos web,2
gnb,movilidad,presencial,pagos presencial,2
evolve bank & trust,impuesto predial,n,pagos web,2
zuercher kantonalbank,impuesto predial,a,pagos web,2
"europay norge, a.s.",impuesto predial,a,pagos web,2
banco cooperativo coopcentral,alumbrado publico,a,pagos web,2
cfa,impuesto telefonico,presencial,pagos presencial,2
banco cooperativo coopcentral,delineación urbana,p,pagos web,2
banco cooperativo coopcentral,impuesto telefonico,n,pagos web,2
banco cooperativo coopcentral,industria y comercio,a,pagos web,2
cembra money bank ag,impuesto predial,p,pagos web,2
celtic bank corporation,impuesto predial,p,pagos web,2
card services for credit union,impuesto predial,p,pagos web,2
banco davivienda,otros ingresos,n,pagos web,2
"capital one, national associat",industria y comercio,n,pagos web,2
"capital one, n.a.",impuesto predial,p,pagos web,2
"capital one bank (usa), nation",industria y comercio,p,pagos web,2
"capital one bank (usa), nation",impuesto predial,n,pagos web,2
"capital one bank (usa), nation",impuesto predial,a,pagos web,2
"banco davivienda, s.a.",aprov.esp.pub,p,pagos web,2
"banco davivienda, s.a.",impuesto predial,w,pagos web,2
"banco davivienda, s.a.",impuesto telefonico,n,pagos web,2
caja de ahorros y pensiones de,servicios,n,pagos web,2
caja de ahorros y pensiones de,impuesto predial,n,pagos web,2
banco de bogota s.a.,circulacion y transito,a,pagos web,2
banco de bogota s.a.,otros ingresos,p,pagos web,2
banco de bogota s.a.,servicios,p,pagos web,2
bogota_1,multas codigo de policia,presencial,pagos presencial,2
banco de bogotá s.a.,circulacion y transito,p,pagos web,2
bogota_1,espectaculos publicos,presencial,pagos presencial,2
banco de bogotá s.a.,industria y comercio,w,pagos web,2
banco de bogotá s.a.,retencion ica,p,pagos web,2
banco de bogotá s.a.,servicios,n,pagos web,2
cfa,pot.,presencial,pagos presencial,2
banco coomeva s.a.,impuesto predial,a,pagos web,2
bcsc,impuesto telefonico,p,pagos web,2
banco colpatria pricesmart,ingresos no tributarios,p,pagos web,2
compania de financiamiento tuy,alumbrado publico,n,pagos web,2
"banco bhd, s.a., banco mzltipl",impuesto predial,p,pagos web,2
banco bilbao vizcaya argentari,alumbrado publico,p,pagos web,2
coltefinanciera,alumbrado publico,p,pagos web,2
coink s.a.,impuesto predial,p,pagos web,2
coink s.a.,impuesto predial,n,pagos web,2
banco bilbao vizcaya argentari,facilidades,a,pagos web,2
banco bilbao vizcaya argentari,servicios,n,pagos web,2
banco bogota,facilidades,a,pagos web,2
"citizens bank, n.a.",impuesto predial,p,pagos web,2
citibank n.a.,industria y comercio,p,pagos web,2
citibank n.a.,facilidades,n,pagos web,2
citibank del peru s.a.,impuesto predial,p,pagos web,2
banco caja social,aprov.esp.pub,p,pagos web,2
"citibank (hong kong), ltd.",impuesto predial,p,pagos web,2
banco caja social,publicidad exterior visual,n,pagos web,2
banco caja social,rendimientos financieros y recursos no ejecutados,n,pagos web,2
banco caja social s.a.,facilidades,n,pagos web,2
citibank,facilidades,a,pagos web,2
citibank,circulacion y transito,a,pagos web,2
"banco caminos, s.a.",impuesto predial,p,pagos web,2
banco colpatria,alumbrado publico,n,pagos web,2
banco colpatria,circulacion y transito,n,pagos web,2
"chase bank usa, n.a.",facilidades,n,pagos web,2
banco colpatria,retencion ica,p,pagos web,2
banco colpatria pricesmart,alumbrado publico,a,pagos web,2
charles schwab bank,impuesto predial,a,pagos web,2
bilbao bizkaia kutxa (bbk),impuesto predial,p,pagos web,2
bcsc,facilidades,n,pagos web,2
banco bbva colombia,impuesto predial,n,pagos web,2
bank of america,industria y comercio,n,pagos web,2
"banco general, s.a.",impuesto predial,n,pagos web,2
"banesco, s.a.",impuesto predial,n,pagos web,2
bancoomeva s.a.,facilidades,n,pagos web,2
bancoomeva s.a.,facilidades,a,pagos web,2
bancoomeva,impuesto predial,a,pagos web,2
"banco industrial, s.a.",impuesto predial,p,pagos web,2
bancolombia s.a.,rentas contractuales,a,pagos web,2
bancolombia cayman,facilidades,n,pagos web,2
bancolombia - botón bancolombi,servicios,a,pagos web,2
banco itau,delineación urbana,n,pagos web,2
bancolombia,transferencias,presencial,pagos presencial,2
banco itau,servicios,n,pagos web,2
banco union antes giros,servicios,n,pagos web,2
"banco multiple bhd leon, s.a.",impuesto predial,p,pagos web,2
"banco multiple santa cruz, s.a",impuesto predial,p,pagos web,2
banco santander colombia,circulacion y transito,p,pagos web,2
banco santander,impuesto telefonico,p,pagos web,2
banco regional de monterrey s.,impuesto predial,p,pagos web,2
banco nacional de mexico s.a.,impuesto predial,p,pagos web,2
banco procredit,retencion ica,p,pagos web,2
banco popular s.a.,facilidades,n,pagos web,2
banco occidente,alumbrado publico,p,pagos web,2
banco popular s.a.,circulacion y transito,a,pagos web,2
banco popular,otros ingresos,n,pagos web,2
banco panama,impuesto predial,n,pagos web,2
banco popular,ingresos no tributarios,n,pagos web,2
banco pichincha s.a.,otros ingresos,p,pagos web,2
banistmo s.a,impuesto predial,n,pagos web,2
bank of america national assoc,impuesto predial,a,pagos web,2
bcsc,circulacion y transito,p,pagos web,2
"bank of america, n.a.",impuesto predial,a,pagos web,2
banco de credito del peru,impuesto predial,n,pagos web,2
bbva colombia s.a,alumbrado publico,p,pagos web,2
"bbva bancomer, sa instit. de b",impuesto predial,n,pagos web,2
"bbva bancomer, s.a.",impuesto predial,a,pagos web,2
banco de occidente,facilidades,a,pagos web,2
banco de occidente,impuesto predial,w,pagos web,2
bbva,delineación urbana,p,pagos web,2
banco de occidente,ingresos no tributarios,n,pagos web,2
bbva,cuotas partes jubilatorias,presencial,pagos presencial,2
"bay first bank, n.a.",impuesto predial,p,pagos web,2
banco de occidente s.a.,retencion ica,p,pagos web,2
"banco de occidente, s.a.",industria y comercio,a,pagos web,2
"banco de occidente, s.a.",movilidad,p,pagos web,2
barclays bank delaware,industria y comercio,n,pagos web,2
barclays bank delaware,facilidades,p,pagos web,2
banco diners club del ecuador,facilidades,p,pagos web,2
"bankinter, s.a.",impuesto predial,a,pagos web,2
banco falabella,circulacion y transito,a,pagos web,2
bank of scotland plc,impuesto predial,n,pagos web,2
banco falabella,delineación urbana,n,pagos web,2
bank of nova scotia,impuesto predial,n,pagos web,2
banco falabella,industria y comercio,w,pagos web,2
bank of montreal,impuesto predial,n,pagos web,2
banco falabella,rentas contractuales,a,pagos web,2
bank of hawaii,facilidades,p,pagos web,2
"bank of america, national asso",facilidades,p,pagos web,2
"bank of america, n.a.",industria y comercio,p,pagos web,2
banco bbva colombia s.a.,industria y comercio,w,pagos web,2
banco popular,circulacion y transito,n,pagos web,2
"axis bank, ltd.",impuesto predial,p,pagos web,2
american express us consumer,industria y comercio,p,pagos web,2
confiar cooperativa financiera,movilidad,p,pagos web,2
daviplata,alumbrado publico,n,pagos web,2
credit du nord,impuesto predial,p,pagos web,2
banco av villas s.a.,industria y comercio,a,pagos web,2
coofinep,delineación urbana,presencial,pagos presencial,2
daviplata,industria y comercio,w,pagos web,2
credit agricole s.a.,impuesto predial,p,pagos web,2
daviplata,movilidad,p,pagos web,2
american airlines f.c.u.,impuesto predial,p,pagos web,2
banco av villas,alumbrado publico,n,pagos web,2
banco av villas s.a.,aprov.esp.pub,n,pagos web,2
banco av villas s.a.,alumbrado publico,p,pagos web,2
american express us consumer,facilidades,n,pagos web,2
bancar tecnologia co sa compan,facilidades,p,pagos web,2
banco av villas,rendimientos financieros y recursos no ejecutados,n,pagos web,2
davivienda s.a.,facilidades,p,pagos web,2
credibanco,industria y comercio,p,pagos web,2
banco av villas,recursos fonset,n,pagos web,2
davivienda s.a.,impuesto predial,n,pagos web,2
deutscher sparkassen und girov,impuesto predial,n,pagos web,2
credibanco,facilidades,p,pagos web,2
banco av villas,industria y comercio,w,pagos web,2
cooperativa financiera de anti,impuesto predial,p,pagos web,2
deutscher sparkassen - und gir,impuesto predial,p,pagos web,2
cotrafa,pot.,presencial,pagos presencial,2
deutsche kreditbank aktiengese,impuesto predial,p,pagos web,2
credit mutuel arkea,impuesto predial,n,pagos web,2
"corner banca, s.a.",impuesto predial,p,pagos web,2
credomatic de honduras s.a.,impuesto predial,a,pagos web,2
duo bank of canada,impuesto predial,p,pagos web,2
adcb,impuesto predial,p,pagos web,2
dz bank ag,impuesto predial,p,pagos web,2
av villas,industria y comercio,a,pagos web,2
advancial f.c.u.,impuesto predial,p,pagos web,2
erste bank der oesterreichisch,impuesto predial,a,pagos web,2
avvillas,publicidad exterior visual,presencial,pagos presencial,2
confiar cooperativa financiera,delineación urbana,p,pagos web,2
dkb das kann bank,impuesto predial,p,pagos web,2
"europay norge, a.s.",facilidades,p,pagos web,2
banco bbva colombia,impuesto predial,a,pagos web,2
credit one bank n.a.,impuesto predial,p,pagos web,2
"credito, s.a.",impuesto predial,p,pagos web,2
visalux s.c.,impuesto predial,p,pagos web,1
banco falabella,rentas contractuales,p,pagos web,1
aval soluciones digitales s.a.,impuesto predial,n,pagos web,1
rbc royal bank of canada,impuesto predial,p,pagos web,1
rbs national bank,impuesto predial,n,pagos web,1
american gateway bank,impuesto predial,p,pagos web,1
banco de occidente,deguello de ganado,p,pagos web,1
av villas,circulacion y transito,a,pagos web,1
redeban multicolor s.a.,alumbrado publico,p,pagos web,1
banco de occidente,aprov.esp.pub,n,pagos web,1
av villas,otros ingresos,p,pagos web,1
banco finandina s.a. bic,facilidades,p,pagos web,1
american express us consumer,delineación urbana,n,pagos web,1
banco finandina s.a. bic,impuesto predial,n,pagos web,1
banco finandina s.a. bic,industria y comercio,n,pagos web,1
aval soluciones digitales s.a.,industria y comercio,p,pagos web,1
banco de nova scotia,impuesto predial,p,pagos web,1
vystar c.u.,impuesto predial,p,pagos web,1
banco general s.a.,facilidades,p,pagos web,1
pse - cuentas débito ahorro y,retencion ica,n,pagos web,1
american express idc consumer,impuesto predial,p,pagos web,1
banco general s.a.,impuesto predial,n,pagos web,1
american express us consumer,facilidades,a,pagos web,1
aruba bank n.v.,impuesto predial,n,pagos web,1
visa - visa,industria y comercio,n,pagos web,1
amex - amex,industria y comercio,p,pagos web,1
"rappipay, s.a.s.",impuesto telefonico,p,pagos web,1
"rappipay, s.a.s.",impuesto predial,w,pagos web,1
banco de occidente s.a.,industria y comercio,a,pagos web,1
banco de occidente s.a.,rentas contractuales,p,pagos web,1
australia and new zealand bank,impuesto predial,p,pagos web,1
"banco de occidente, s.a.",alumbrado publico,n,pagos web,1
"banco de occidente, s.a.",circulacion y transito,n,pagos web,1
"banco de occidente, s.a.",delineación urbana,n,pagos web,1
banco de occidente s.a.,alumbrado publico,p,pagos web,1
"banco de occidente, s.a.",espectaculos publicos,n,pagos web,1
"banco de occidente, s.a.",facilidades,a,pagos web,1
"banco de occidente, s.a.",impuesto predial,w,pagos web,1
banco de occidente,recursos fonset,n,pagos web,1
asociacion gremial de instituc,facilidades,p,pagos web,1
banco del progreso,impuesto predial,p,pagos web,1
american express company us,impuesto predial,p,pagos web,1
rappipay daviplata,industria y comercio,p,pagos web,1
asb bank,impuesto predial,p,pagos web,1
"aruba bank, n.v.",impuesto predial,p,pagos web,1
"banco espirito santo, s.a.",impuesto predial,p,pagos web,1
visa,impuesto telefonico,p,pagos web,1
"rappipay, s.a.s.",industria y comercio,w,pagos web,1
banco de occidente,impuesto telefonico,n,pagos web,1
rappipay daviplata,impuesto predial,a,pagos web,1
rappipay daviplata,facilidades,p,pagos web,1
banco falabella,alumbrado publico,a,pagos web,1
amex canada globestar,industria y comercio,p,pagos web,1
"rappipay, s.a.s.",alumbrado publico,n,pagos web,1
banco gnb sudameris,delineación urbana,n,pagos web,1
"banco general, s.a.",industria y comercio,p,pagos web,1
popular,multas codigo de policia,presencial,pagos presencial,1
"wilmington trust, n.a.",facilidades,p,pagos web,1
"banco multiple santa cruz, s.a",industria y comercio,p,pagos web,1
westpac new zealand limited,impuesto predial,n,pagos web,1
banco multiple caribe internac,servicios,n,pagos web,1
banco multiple caribe internac,impuesto predial,p,pagos web,1
aec mexico sa de cv - gstar co,impuesto predial,n,pagos web,1
banco mercantil del norte s.a.,impuesto predial,p,pagos web,1
"popular bank ltd., inc.",impuesto predial,p,pagos web,1
banco mercantil del norte s.a.,impuesto predial,n,pagos web,1
"banco itaucard, s.a.",industria y comercio,n,pagos web,1
postfinance ag,facilidades,p,pagos web,1
aeromexico,impuesto predial,p,pagos web,1
postfinance ag,impuesto predial,p,pagos web,1
prepaid financial services ltd,servicios,n,pagos web,1
"banco itaucard, s.a.",impuesto predial,p,pagos web,1
banco nacional de costa rica,impuesto predial,p,pagos web,1
"banco nacional de credito, c.a",impuesto predial,w,pagos web,1
"banco general, s.a.",servicios,n,pagos web,1
"wirecard card solutions, ltd.",delineación urbana,p,pagos web,1
"pnc bank, n.a.",rentas contractuales,p,pagos web,1
pomelo tecnologia sas,impuesto predial,a,pagos web,1
banco pichincha s.a.,facilidades,n,pagos web,1
banco pichincha s.a.,alumbrado publico,p,pagos web,1
pomelo tecnologia sas,industria y comercio,p,pagos web,1
banco pichincha c.a.,industria y comercio,p,pagos web,1
banco pichincha c.a.,facilidades,p,pagos web,1
wizink bank sa,servicios,p,pagos web,1
banco panama,facilidades,p,pagos web,1
wizink bank sa,servicios,n,pagos web,1
banco panama,facilidades,n,pagos web,1
banco occidente,otros ingresos,p,pagos web,1
wirex limited,impuesto predial,p,pagos web,1
"banco nacional de mexico, s.a.",impuesto predial,p,pagos web,1
"banco nacional de mexico, s.a.",impuesto predial,a,pagos web,1
private bank and trust company,impuesto predial,p,pagos web,1
pscu incorporated,impuesto predial,p,pagos web,1
pse - cuentas débito ahorro y,alumbrado publico,a,pagos web,1
banco itau,transferencias,n,pagos web,1
pse - cuentas débito ahorro y,impuesto telefonico,p,pagos web,1
pse - cuentas débito ahorro y,industria y comercio,a,pagos web,1
"banco inbursa, s.a.",impuesto predial,p,pagos web,1
banco gnb sudameris,servicios,p,pagos web,1
pse - cuentas débito ahorro y,ingresos no tributarios,n,pagos web,1
banco gnb sudameris,servicios,n,pagos web,1
banco gnb sudameris,publicidad exterior visual,p,pagos web,1
banco gnb sudameris,otros ingresos,p,pagos web,1
banco gnb sudameris,delineación urbana,p,pagos web,1
pse - cuentas débito ahorro y,publicidad exterior visual,n,pagos web,1
visa,alumbrado publico,p,pagos web,1
pse - cuentas débito ahorro y,recursos fonset,n,pagos web,1
american express company,industria y comercio,p,pagos web,1
banco gnb sudameris,aprov.esp.pub,n,pagos web,1
banco gnb sudameris,alumbrado publico,n,pagos web,1
pse - cuentas débito ahorro y,impuesto telefonico,n,pagos web,1
