Banco,Contrato,Origen,Tipo archivo recaudo,Valor pago
"banco santander mexicano, s.a.",impuesto predial,p,pagos web,24621237
clara,industria y comercio,n,pagos web,24465388
banco bbva colombia s.a.,industria y comercio,a,pagos web,24394058
redeban multicolor s.a.,impuesto predial,a,pagos web,24357485
bancocajasocial,circulacion y transito,presencial,pagos presencial,24327432
scotiabank colpatria,movilidad,p,pagos web,24087200
cotrafa,movilidad,presencial,pagos presencial,23998876
banco caja social,industria y comercio,w,pagos web,23967065
barclays bank plc,impuesto predial,p,pagos web,23965789
rappipay,impuesto predial,p,pagos web,23905193
"corner banca, s.a.",impuesto predial,p,pagos web,23866688
scotiabank colpatria,delineación urbana,p,pagos web,23475218
"bancorp bank, the",impuesto predial,p,pagos web,23363094
banco bbva colombia s.a.,delineación urbana,n,pagos web,23231840
american express company,industria y comercio,n,pagos web,23203273
colpatria,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,22989813
citibank na,impuesto predial,p,pagos web,22915229
hsbc bank plc,impuesto predial,p,pagos web,22869108
compania de financiamiento tuy,facilidades,a,pagos web,22820863
bcsc,facilidades,p,pagos web,22690648
banco occidente,impuesto predial,a,pagos web,22689535
hsbc bank (panama) s.a.,impuesto predial,a,pagos web,22274890
coltefinanciera,impuesto predial,n,pagos web,22050203
"itau corpbanca colombia, s.a.",retencion ica,p,pagos web,21906990
pse - cuentas débito ahorro y,estampilla procultura,p,pagos web,21870000
finandina,impuesto predial,n,pagos web,21810314
american express us consumer,impuesto predial,a,pagos web,21748253
redeban multicolor s.a.,industria y comercio,p,pagos web,21346128
bancolombia cayman,impuesto predial,n,pagos web,21344404
pse - cuentas débito ahorro y,delineación urbana,p,pagos web,21285886
"capital one, national associat",impuesto predial,n,pagos web,21241501
falabella,facilidades,a,pagos web,21220690
amex - amex,impuesto predial,p,pagos web,21198239
american express company,facilidades,n,pagos web,21181846
scotiabank colpatria,retencion ica,n,pagos web,21162000
banco cooperativo coopcentral,retencion ica,p,pagos web,21025000
scotiabank colpatria s.a.,impuesto predial,w,pagos web,20938641
davivienda,transferencias,presencial,pagos presencial,20777696
nequi,rentas contractuales,n,pagos web,20581464
barclays bank delaware,delineación urbana,p,pagos web,20526880
financiera coomeva,facilidades,p,pagos web,20357812
bancolombia - botón bancolombi,rendimientos financieros y recursos no ejecutados,n,pagos web,20346709
banco davivienda s.a.,impuesto predial,a,pagos web,20315436
bcsc,impuesto predial,a,pagos web,20100740
gnb,préstamos hipotecarios,presencial,pagos presencial,19978253
nu pagamentos sa,publicidad exterior visual,n,pagos web,19849597
confiar,alumbrado publico,presencial,pagos presencial,19823714
"td bank, n.a.",impuesto predial,p,pagos web,19712353
american express us,impuesto predial,n,pagos web,19674456
citibank na,facilidades,p,pagos web,19592895
bancolombia - botón bancolombi,publicidad exterior visual,p,pagos web,19573401
banco itau,publicidad exterior visual,p,pagos web,19569488
caja social bcs,facilidades,p,pagos web,19450835
nequi,rentas contractuales,p,pagos web,19391639
credibanco,facilidades,p,pagos web,19089777
banco santander,impuesto predial,n,pagos web,19059652
banco agrario,publicidad exterior visual,p,pagos web,18978914
ripley visa,industria y comercio,p,pagos web,18930095
n26 gmbh,impuesto predial,p,pagos web,18831755
bancolombia - botón bancolombi,retencion ica,p,pagos web,18717880
goldman sachs bank usa,impuesto predial,n,pagos web,18656475
banco general s.a.,impuesto predial,p,pagos web,18540339
banco de occidente,impuesto telefonico,p,pagos web,18534283
bancolombia s.a.- nequi,impuesto predial,a,pagos web,18519695
banco de bogota,otros ingresos,n,pagos web,18447517
"hsbc bank (panama), s.a.",impuesto predial,a,pagos web,18431893
bancoomeva s.a.,impuesto predial,a,pagos web,18351713
bank of america,impuesto predial,a,pagos web,18316414
banco cooperativo coopcentral,facilidades,n,pagos web,18287700
banco av villas,publicidad exterior visual,p,pagos web,18244975
banco caja social,recursos fonset,n,pagos web,18098654
financiera coomeva,impuesto predial,n,pagos web,18081456
banco colpatria,facilidades,a,pagos web,18041701
banco caja social s.a.,impuesto predial,a,pagos web,18002246
confiar cooperativa financiera,ingresos no tributarios,p,pagos web,17973956
home trust company,impuesto predial,p,pagos web,17940511
iris,impuesto predial,p,pagos web,17911388
banco colpatria,delineación urbana,p,pagos web,17906150
bancocajasocial,otros ingresos,presencial,pagos presencial,17887637
cfa,préstamos hipotecarios,presencial,pagos presencial,17755442
"jpmorgan chase bank, n.a.",impuesto predial,n,pagos web,17697693
synchrony bank,impuesto predial,p,pagos web,17687838
colpatria,circulacion y transito,presencial,pagos presencial,17622358
scotiabank colpatria,publicidad exterior visual,p,pagos web,17589431
tuya alkosto,impuesto predial,p,pagos web,17585967
helm bank,impuesto predial,p,pagos web,17530218
daviplata,impuesto predial,a,pagos web,17522377
bancolombia s.a.,circulacion y transito,p,pagos web,17400854
consumidor de american express,impuesto predial,p,pagos web,17350614
occidente,estampilla procultura,presencial,pagos presencial,17288000
visa,industria y comercio,p,pagos web,17211427
popular,rentas contractuales,presencial,pagos presencial,16937311
bogota_1,servicios,presencial,pagos presencial,16929687
banco pichincha,impuesto predial,p,pagos web,16912679
banco pichincha s.a.,otros ingresos,p,pagos web,16847712
banco bilbao vizcaya argentari,facilidades,n,pagos web,16821139
"chase bank usa, n.a.",facilidades,p,pagos web,16775449
gnb,publicidad exterior visual,presencial,pagos presencial,16705902
bbva,espectaculos publicos,presencial,pagos presencial,16654563
gnb sudameris s.a.,impuesto predial,p,pagos web,16634087
royal bank of canada,impuesto predial,n,pagos web,16526294
confiar,aprov.esp.pub,presencial,pagos presencial,16445123
daviplata,impuesto predial,n,pagos web,16259361
commonwealth bank of australia,impuesto predial,p,pagos web,16254824
bancolombia cayman,industria y comercio,p,pagos web,16247200
itau corpbanca colombia s.a.,impuesto predial,a,pagos web,16128907
scotiabank colpatria,aprov.esp.pub,n,pagos web,16042606
occidente,cuotas partes jubilatorias,presencial,pagos presencial,16032369
banco av villas,alumbrado publico,p,pagos web,16012619
bank of hawaii,impuesto predial,p,pagos web,15914869
mmg bank corporation,impuesto predial,n,pagos web,15764810
banco santander,impuesto predial,a,pagos web,15633725
cotrafa,otros ingresos,presencial,pagos presencial,15629605
scotiabank colpatria,rentas contractuales,n,pagos web,15583789
"itau corpbanca colombia, s.a.",facilidades,n,pagos web,15499848
nequi,facilidades,a,pagos web,15492284
occidente,aprov.esp.pub,presencial,pagos presencial,15481195
coop. financ. confiar,facilidades,p,pagos web,15425571
bancolombia s.a.,rendimientos financieros y recursos no ejecutados,p,pagos web,15402361
citibank n.a.,impuesto predial,w,pagos web,15308324
banco bbva colombia,impuesto predial,p,pagos web,15281228
banco bbva colombia s.a.,facilidades,a,pagos web,15277241
bancolombia s.a.- nequi,industria y comercio,p,pagos web,15267599
bancocajasocial,movilidad,presencial,pagos presencial,15196070
hsbc bank usa national associa,impuesto predial,p,pagos web,15193202
allied irish banks plc,impuesto predial,p,pagos web,15182836
banco serfinanza,impuesto predial,p,pagos web,14977260
"capital one, national associat",facilidades,p,pagos web,14964320
visalux s.c.,impuesto predial,p,pagos web,14961160
davivienda,cuotas partes jubilatorias,presencial,pagos presencial,14902383
pse - cuentas débito ahorro y,alumbrado publico,p,pagos web,14868505
american express company,impuesto predial,a,pagos web,14851148
"banco del pacifico, s.a.",impuesto predial,p,pagos web,14673583
bancolombia s.a.,aprov.esp.pub,p,pagos web,14665003
banco cooperativo coopcentral,industria y comercio,n,pagos web,14627832
banco popular,alumbrado publico,n,pagos web,14427203
american express us consumer,industria y comercio,n,pagos web,14351422
bank of montreal,impuesto predial,p,pagos web,14283390
compania de financiamiento tuy,industria y comercio,a,pagos web,14257330
scotiabank colpatria s.a.,movilidad,p,pagos web,14239000
scotiabank colpatria,industria y comercio,a,pagos web,14234199
pse - cuentas débito ahorro y,publicidad exterior visual,p,pagos web,14185994
bbva,estampilla procultura,presencial,pagos presencial,14071000
"hsbc bank (panama), s.a.",impuesto predial,p,pagos web,14054502
amex - amex,impuesto predial,n,pagos web,14004177
banco av villas,otros ingresos,p,pagos web,13898048
jeeves technologies colombia s,industria y comercio,p,pagos web,13754140
banco panama,facilidades,n,pagos web,13720800
banco de occidente,publicidad exterior visual,n,pagos web,13600000
colpatria,movilidad,presencial,pagos presencial,13592065
banistmo s.a,impuesto predial,p,pagos web,13558375
"wells fargo bank, n.a.",facilidades,n,pagos web,13443813
"itau corpbanca colombia, s.a.",retencion ica,n,pagos web,13300059
american express us consumer,delineación urbana,n,pagos web,13277630
banco colpatria pricesmart,industria y comercio,n,pagos web,13160640
starling bank limited,impuesto predial,p,pagos web,13099778
banco bbva colombia s.a.,aprov.esp.pub,p,pagos web,13044043
bank of hawaii,impuesto predial,n,pagos web,13035093
bbva,retencion ica,p,pagos web,12988000
american express,impuesto predial,p,pagos web,12987630
jeeves technologies colombia s,retencion ica,p,pagos web,12977100
lulo bank,impuesto predial,p,pagos web,12974072
wells fargo bank n.a.,impuesto predial,p,pagos web,12810364
banco colpatria pricesmart,delineación urbana,p,pagos web,12677360
goldman sachs bank usa,facilidades,n,pagos web,12656972
bancocajasocial,pot.,presencial,pagos presencial,12654347
banco bogota,impuesto predial,a,pagos web,12645083
dz bank ag deutsche zentral- g,impuesto predial,p,pagos web,12640652
coopcentral,impuesto predial,p,pagos web,12565964
bancolombia s.a.- nequi,impuesto predial,n,pagos web,12549677
bcsc,facilidades,n,pagos web,12379516
banco davivienda,publicidad exterior visual,n,pagos web,12362165
scotiabank colpatria,facilidades,a,pagos web,12351686
banco procredit,retencion ica,p,pagos web,12329000
bancolombia - botón bancolombi,alumbrado publico,n,pagos web,12317620
aeromexico,impuesto predial,p,pagos web,12214674
hsbc bank canada,impuesto predial,n,pagos web,12199595
country day,impuesto predial,p,pagos web,12169667
hsbc bank middle east,impuesto predial,p,pagos web,12146007
nequi,impuesto predial,w,pagos web,12129621
"capital one bank (usa), n.a.",facilidades,p,pagos web,12046934
"bank of america, national asso",industria y comercio,p,pagos web,12030256
banco caja social,ingresos no tributarios,p,pagos web,11925088
aec mexico sa de cv - gstar co,impuesto predial,n,pagos web,11886119
cfa cooperativa financiera,facilidades,p,pagos web,11884403
"hsbc bank nevada, n.a.",industria y comercio,n,pagos web,11873607
banco cooperativo coopcentral,facilidades,a,pagos web,11861543
coöperatieve rabobank u.a.,impuesto predial,p,pagos web,11794975
banco panama,impuesto predial,p,pagos web,11740219
toronto-dominion bank the,impuesto predial,p,pagos web,11679580
scotiabank colpatria s.a.,industria y comercio,a,pagos web,11590334
ripley visa,impuesto predial,a,pagos web,11553868
sempli s.a.s.,impuesto predial,p,pagos web,11541632
banco bbva colombia s.a.,impuesto predial,w,pagos web,11517838
banco davivienda costa rica s.,impuesto predial,p,pagos web,11472536
"banco de credito de bolivia, s",impuesto predial,p,pagos web,11438486
davivienda,sobretasa a la gasolina,presencial,pagos presencial,11414414
bancoomeva,facilidades,p,pagos web,11284310
"bank of america, n.a.",industria y comercio,p,pagos web,11241597
westpac new zealand limited,impuesto predial,n,pagos web,11239724
banco de bogotá s.a.,industria y comercio,w,pagos web,11229395
banco serfinanza s.a,facilidades,n,pagos web,11209479
bancocajasocial,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,11199107
bancolombia s.a.,retencion ica,n,pagos web,11130000
cotrafa,pot.,presencial,pagos presencial,11129097
banco de bogota,industria y comercio,w,pagos web,11079999
bancolombia,cuotas partes jubilatorias,presencial,pagos presencial,11069687
banco serfinanza s.a,industria y comercio,p,pagos web,11025423
itaú,industria y comercio,a,pagos web,11024694
"wells fargo bank, n.a.",impuesto predial,a,pagos web,11015313
citibank,industria y comercio,a,pagos web,10987967
banco av villas s.a.,industria y comercio,n,pagos web,10968794
revolut ltd,impuesto predial,p,pagos web,10923997
bancolombia - botón bancolombi,ingresos no tributarios,n,pagos web,10883994
first bank and trust,industria y comercio,p,pagos web,10873819
banco av villas s.a.,facilidades,n,pagos web,10856648
frontier bank,impuesto predial,p,pagos web,10781925
banco popular s.a.,facilidades,n,pagos web,10719996
"banco de occidente (panama), s",impuesto predial,p,pagos web,10690804
bancocajasocial,alumbrado publico,presencial,pagos presencial,10675317
"banco caminos, s.a.",impuesto predial,p,pagos web,10563155
canadian tire bank,impuesto predial,p,pagos web,10552578
aec mexico sa de cv - gstar co,impuesto predial,p,pagos web,10533142
first national bank of omaha,impuesto predial,p,pagos web,10508383
pse - cuentas débito ahorro y,aprov.esp.pub,p,pagos web,10426295
banco de occidente,recursos fonset,n,pagos web,10419000
regions bank,impuesto predial,p,pagos web,10382870
banco de occidente,circulacion y transito,p,pagos web,10328864
"banco de occidente, s.a.",retencion ica,p,pagos web,10322000
banco coomeva s.a.,industria y comercio,p,pagos web,10305722
daviplata,facilidades,n,pagos web,10295482
citibank na,impuesto predial,n,pagos web,10254523
tuya alkosto,facilidades,p,pagos web,10244937
"bank of america, national asso",impuesto predial,a,pagos web,10187373
gnb,circulacion y transito,presencial,pagos presencial,10138032
"wirecard card solutions, ltd.",impuesto predial,p,pagos web,10116807
gnb,ingresos no tributarios,presencial,pagos presencial,10095665
"bank of america, n.a.",facilidades,a,pagos web,10013350
itau corpbanca colombia s.a.,facilidades,p,pagos web,10000000
banco de bogota,circulacion y transito,p,pagos web,9979020
synchrony bank,facilidades,n,pagos web,9942856
financiera coomeva,impuesto predial,a,pagos web,9938241
american express idc consumer,impuesto predial,p,pagos web,9896770
banco caja social,circulacion y transito,p,pagos web,9872196
"banco general, s.a.",industria y comercio,p,pagos web,9843383
pse - cuentas débito ahorro y,movilidad,p,pagos web,9842200
"first gulf bank, n.a.",impuesto predial,p,pagos web,9786091
"bank of america, national asso",facilidades,p,pagos web,9783878
banco bbva colombia s.a.,aprov.esp.pub,n,pagos web,9765884
koho financial incorporated,impuesto predial,p,pagos web,9749113
american express,impuesto predial,n,pagos web,9746550
tuily sas,industria y comercio,n,pagos web,9735947
avvillas,aprov.esp.pub,presencial,pagos presencial,9730503
sempli s.a.s.,industria y comercio,n,pagos web,9703706
itaú,facilidades,n,pagos web,9649263
hsbc bank middle east,impuesto predial,a,pagos web,9635883
bank of nova scotia,impuesto predial,p,pagos web,9618033
"pnc bank, global investment se",impuesto predial,p,pagos web,9589548
finandina,facilidades,n,pagos web,9557603
banco coomeva s.a.,industria y comercio,n,pagos web,9540209
banco gnb sudameris,facilidades,n,pagos web,9520008
banco popular,transferencias,n,pagos web,9512264
banco de bogota s.a.,delineación urbana,p,pagos web,9489140
ing belgium,impuesto predial,p,pagos web,9448045
banco caja social s.a.,impuesto predial,n,pagos web,9436840
banco serfinanza s.a,facilidades,p,pagos web,9404017
gnb,alumbrado publico,presencial,pagos presencial,9393732
ubs ag,impuesto predial,p,pagos web,9391209
banco itau,industria y comercio,w,pagos web,9380334
banco de occidente,aprov.esp.pub,p,pagos web,9379726
banco bbva colombia s.a.,impuesto telefonico,p,pagos web,9356225
american airlines f.c.u.,impuesto predial,p,pagos web,9342458
citibank del peru s.a.,impuesto predial,p,pagos web,9325062
navy f.c.u.,impuesto predial,p,pagos web,9312345
"banco popular dominicano, c. p",impuesto predial,p,pagos web,9263051
falabella,industria y comercio,a,pagos web,9256926
"banco bac san jose, s.a.",impuesto predial,p,pagos web,9240770
banco bbva colombia,facilidades,p,pagos web,9213010
banco de bogota,facilidades,a,pagos web,9189544
"metrobank, s.a.",impuesto predial,p,pagos web,9157959
fia card services n.a.,impuesto predial,p,pagos web,9131025
bank of hawaii,facilidades,p,pagos web,9050171
swiss post,facilidades,p,pagos web,9028438
banco popular s.a.,impuesto predial,n,pagos web,9022546
"jpmorgan chase bank, n.a.",espectaculos publicos,n,pagos web,8965517
serfinansa,impuesto predial,p,pagos web,8896454
"fia card services, n.a.",impuesto predial,n,pagos web,8888223
sempli s.a.s.,facilidades,p,pagos web,8867147
banco davivienda,industria y comercio,w,pagos web,8844682
scotiabank colpatria s.a.,industria y comercio,w,pagos web,8822758
barclays bank delaware,facilidades,p,pagos web,8817965
"banco de occidente, s.a.",facilidades,n,pagos web,8717077
banco itau,industria y comercio,a,pagos web,8708799
caja de ahorros y pensiones de,impuesto predial,p,pagos web,8668093
cfa cooperativa financiera,industria y comercio,p,pagos web,8645980
citibank n.a.,impuesto predial,a,pagos web,8584032
pse - cuentas débito ahorro y,alumbrado publico,n,pagos web,8573603
redeban multicolor s.a.,facilidades,p,pagos web,8531337
bancolombia s.a.,alumbrado publico,n,pagos web,8530409
"banco multiple bhd leon, s.a.",impuesto predial,p,pagos web,8512509
handels-krediet-en industrieba,impuesto predial,n,pagos web,8486901
scotiabank colpatria s.a.,circulacion y transito,p,pagos web,8479317
bancoomeva s.a.,facilidades,a,pagos web,8472780
lulo bank sa,impuesto predial,p,pagos web,8414359
"capital bank, inc.",impuesto predial,p,pagos web,8383401
banco popular,rentas contractuales,p,pagos web,8342744
banco santander colombia,movilidad,p,pagos web,8315200
confiar cooperativa financiera,impuesto predial,a,pagos web,8271609
banco multiple caribe internac,impuesto predial,p,pagos web,8219792
"hsbc bank nevada, n.a.",impuesto predial,p,pagos web,8201398
banco de chile,impuesto predial,p,pagos web,8143100
banco davivienda,impuesto telefonico,p,pagos web,8070743
"rappipay, s.a.s.",delineación urbana,n,pagos web,7988696
idb global federal credit unio,impuesto predial,p,pagos web,7970408
ban100,impuesto predial,p,pagos web,7967347
"pnc bank, national association",impuesto predial,p,pagos web,7944520
coop. financ. confiar,industria y comercio,p,pagos web,7936881
itaú,rendimientos financieros y recursos no ejecutados,p,pagos web,7932424
banco davivienda s.a.,impuesto predial,n,pagos web,7894948
banco falabella,facilidades,a,pagos web,7886979
bcsc,industria y comercio,n,pagos web,7883657
banco agrario,impuesto predial,a,pagos web,7751506
banco de bogota,recursos fonset,n,pagos web,7751000
colpatria,impuesto predial,a,pagos web,7737540
banagrario,impuesto predial,p,pagos web,7725067
movii sa,impuesto predial,p,pagos web,7704640
nequi,aprov.esp.pub,n,pagos web,7669067
bancocajasocial,retencion ica,presencial,pagos presencial,7668150
banco santander colombia,movilidad,n,pagos web,7624200
mbna,impuesto predial,p,pagos web,7617462
nu bn servicios méxico sa de c,impuesto predial,p,pagos web,7612150
iris,industria y comercio,n,pagos web,7595170
"tarjetas banamex, sa de cv, so",impuesto predial,p,pagos web,7520720
itaú,rentas contractuales,p,pagos web,7514307
coofinep cooperativa financier,impuesto predial,p,pagos web,7513998
banco falabella,ingresos no tributarios,p,pagos web,7505811
"td bank, n.a.",impuesto predial,n,pagos web,7472798
banco coomeva s.a.,facilidades,p,pagos web,7459602
"hsbc mexico, s.a. institucion",impuesto predial,p,pagos web,7400070
compania de financiamiento tuy,retencion ica,p,pagos web,7382000
citibank privatkunden ag and c,impuesto predial,p,pagos web,7380718
bancolombia s.a.,circulacion y transito,n,pagos web,7379073
banco santander,circulacion y transito,p,pagos web,7376196
colpatria,facilidades,p,pagos web,7360662
charles schwab bank,impuesto predial,a,pagos web,7346905
banco bbva colombia s.a.,circulacion y transito,p,pagos web,7317681
u.s. bank national association,impuesto predial,p,pagos web,7298764
bancocajasocial,espectaculos publicos,presencial,pagos presencial,7293242
jpmorgan chase bank n.a.,impuesto predial,p,pagos web,7268173
"credit one bank, n.a.",impuesto predial,p,pagos web,7261851
banco av villas,rentas contractuales,n,pagos web,7254749
"banco bolivariano, c.a.",impuesto predial,p,pagos web,7249846
bancolombia - botón bancolombi,publicidad exterior visual,n,pagos web,7227496
u.s. bank n.a. nd,impuesto predial,p,pagos web,7218389
banco colpatria pricesmart,facilidades,a,pagos web,7197619
nequi,circulacion y transito,p,pagos web,7192050
colpatria,industria y comercio,p,pagos web,7104671
compania de financiamiento tuy,impuesto predial,w,pagos web,7089169
firstcaribbean international b,impuesto predial,p,pagos web,7071497
cfa,pot.,presencial,pagos presencial,7044108
"banco de occidente, s.a.",publicidad exterior visual,p,pagos web,7034000
lulo bank,facilidades,n,pagos web,7024497
bank of america national assoc,impuesto predial,a,pagos web,7014744
scotiabank colpatria,aprov.esp.pub,p,pagos web,7006965
banco agrario,recursos fonset,p,pagos web,6992000
bbva,facilidades,a,pagos web,6990044
banco davivienda,ingresos no tributarios,n,pagos web,6971013
university of wisconsin c.u.,impuesto predial,p,pagos web,6967536
banco caja social,facilidades,a,pagos web,6933987
bancolombia s.a.,publicidad exterior visual,n,pagos web,6912843
"jpmorgan chase bank, n.a.",impuesto predial,a,pagos web,6906977
pjsc bank mercury,impuesto predial,p,pagos web,6891070
colpatria,retencion ica,presencial,pagos presencial,6884000
card services for credit union,impuesto predial,n,pagos web,6866437
banco de guayaquil s.a.,impuesto predial,p,pagos web,6862444
bbva,aprov.esp.pub,presencial,pagos presencial,6845194
bancolombia,alumbrado publico,a,pagos web,6801518
bancolombia - botón bancolombi,impuesto telefonico,p,pagos web,6789029
citibank n.a.,industria y comercio,n,pagos web,6774041
credibanco,impuesto predial,n,pagos web,6770837
charles schwab bank,impuesto predial,p,pagos web,6742365
popular,alumbrado publico,presencial,pagos presencial,6739857
american express company,facilidades,p,pagos web,6702089
viseca payment services sa,impuesto predial,p,pagos web,6696202
popular,servicios,presencial,pagos presencial,6670662
diners club,impuesto predial,p,pagos web,6635077
confiar cooperativa financiera,movilidad,p,pagos web,6624800
servibanca s.a.,impuesto predial,a,pagos web,6591396
bank of america,facilidades,n,pagos web,6590047
"capital one bank (usa), n.a.",alumbrado publico,p,pagos web,6552802
banco santander-chile,impuesto predial,p,pagos web,6535902
intesa sanpaolo s.p.a.,impuesto predial,n,pagos web,6520473
visa - visa,facilidades,p,pagos web,6507044
clara,impuesto predial,p,pagos web,6491812
nu pagamentos sa,facilidades,a,pagos web,6481445
cfa cooperativa financiera,impuesto predial,n,pagos web,6446023
banco general s.a.,facilidades,p,pagos web,6440721
asociacion gremial de instituc,facilidades,p,pagos web,6415220
bank of america national assoc,impuesto predial,p,pagos web,6401776
gnb,pot.,presencial,pagos presencial,6396394
bancolombia,servicios,n,pagos web,6378580
bank of scotland plc,impuesto predial,p,pagos web,6350190
bancoomeva,industria y comercio,p,pagos web,6338704
bancolombia s.a.,movilidad,n,pagos web,6308000
huntington national bank,impuesto predial,p,pagos web,6304535
nequi,alumbrado publico,p,pagos web,6263475
home national bank,impuesto predial,p,pagos web,6213921
"banco santander, s.a,",impuesto predial,p,pagos web,6182391
"national bank of kuwait, s.a.k",impuesto predial,p,pagos web,6150919
credit suisse,impuesto predial,p,pagos web,6148476
abu dhabi commercial bank,impuesto predial,p,pagos web,6139861
national westminster bank plc,impuesto predial,n,pagos web,6117892
barclays bank delaware,industria y comercio,n,pagos web,6111746
canadian imperial bank of comm,impuesto predial,p,pagos web,6087438
banco itau,alumbrado publico,n,pagos web,6083152
banco occidente,retencion ica,p,pagos web,6041000
"teller, a.s.",impuesto predial,n,pagos web,5962057
bancolombia cayman,facilidades,p,pagos web,5956153
"bank of america, national asso",impuesto predial,n,pagos web,5943276
banco av villas,circulacion y transito,p,pagos web,5936248
banco falabella,alumbrado publico,p,pagos web,5907941
scotiabank colpatria,ingresos no tributarios,n,pagos web,5877536
banco davivienda,rendimientos financieros y recursos no ejecutados,n,pagos web,5849509
nequi,aprov.esp.pub,p,pagos web,5840982
"banco multiple santa cruz, s.a",impuesto predial,p,pagos web,5820381
bbva colombia s.a,impuesto predial,w,pagos web,5780809
bancolombia s.a.- nequi,facilidades,n,pagos web,5761127
banco nacional de costa rica,impuesto predial,p,pagos web,5760786
"banco santander, s.a.",impuesto predial,p,pagos web,5756311
"bancorp bank, the",industria y comercio,p,pagos web,5717824
cotrafa,impuesto predial,n,pagos web,5669028
purdue f.c.u.,impuesto predial,p,pagos web,5655781
national bank of kuwait (s.a.k,impuesto predial,p,pagos web,5627341
inversora pichincha,facilidades,p,pagos web,5601288
pse - cuentas débito ahorro y,aprov.esp.pub,n,pagos web,5568843
country day,impuesto predial,n,pagos web,5566168
national bank of dubai public,impuesto predial,p,pagos web,5551221
avvillas,servicios,presencial,pagos presencial,5496207
banco caja social,movilidad,p,pagos web,5481500
cotrafa,facilidades,p,pagos web,5476641
davivienda,estampilla procultura,presencial,pagos presencial,5468549
banco de bogota,circulacion y transito,n,pagos web,5461318
visa - visa,facilidades,n,pagos web,5439731
"pnc bank, n.a.",impuesto predial,p,pagos web,5433484
visa - visa,impuesto predial,a,pagos web,5413641
cotrafa,publicidad exterior visual,presencial,pagos presencial,5411542
colpatria,publicidad exterior visual,presencial,pagos presencial,5408634
midflorida c.u.,impuesto predial,p,pagos web,5408388
banco bbva colombia s.a.,movilidad,n,pagos web,5403400
yorkshire bank,impuesto predial,p,pagos web,5392541
united nations f.c.u.,impuesto predial,p,pagos web,5384085
compañía american express,impuesto predial,p,pagos web,5350211
banco de occidente,transferencias,n,pagos web,5329944
"cash station, inc.",impuesto predial,p,pagos web,5313958
lulo bank,facilidades,p,pagos web,5305264
coofinep,delineación urbana,presencial,pagos presencial,5303000
confiar cooperativa financiera,impuesto telefonico,p,pagos web,5301960
itaú,movilidad,p,pagos web,5298600
banco davivienda s.a.,facilidades,p,pagos web,5295955
saudi british bank,impuesto predial,p,pagos web,5287290
confiar,movilidad,presencial,pagos presencial,5284898
amex canada globestar,impuesto predial,p,pagos web,5277469
coltefinanciera,facilidades,p,pagos web,5266268
banco union antes giros,impuesto predial,p,pagos web,5262710
banco santander colombia,impuesto predial,p,pagos web,5257218
daviplata,industria y comercio,n,pagos web,5190945
"rappipay, s.a.s.",facilidades,a,pagos web,5185116
ripley visa,facilidades,n,pagos web,5133780
bbva,industria y comercio,n,pagos web,5132739
helm bank usa,impuesto predial,p,pagos web,5125622
pentagon f.c.u.,impuesto predial,p,pagos web,5125517
"banco davivienda, s.a.",retencion ica,p,pagos web,5074560
coltefinanciera,publicidad exterior visual,p,pagos web,5068000
bancolombia - botón bancolombi,alumbrado publico,a,pagos web,5058733
banco av villas s.a.,rentas contractuales,n,pagos web,5055210
"banco nacional de credito, c.a",impuesto predial,p,pagos web,5042718
banco caja social s.a.,industria y comercio,n,pagos web,5038477
banistmo s.a,impuesto predial,n,pagos web,5034399
av villas,impuesto predial,a,pagos web,5031345
popular,cuotas partes jubilatorias,presencial,pagos presencial,4980681
nequi,movilidad,p,pagos web,4980600
banco gnb sudameris,otros ingresos,p,pagos web,4954967
"banco davivienda, s.a.",industria y comercio,a,pagos web,4950655
confiar,sobretasa a la gasolina,presencial,pagos presencial,4925000
"wilmington trust, n.a.",facilidades,p,pagos web,4912264
bancolombia - botón bancolombi,servicios,n,pagos web,4909038
scotiabank colpatria,circulacion y transito,p,pagos web,4880370
first abu dhabi bank pjsc,industria y comercio,p,pagos web,4850003
nu pagamentos sa,delineación urbana,p,pagos web,4842000
banco colpatria pricesmart,industria y comercio,a,pagos web,4834359
bogota_1,espectaculos publicos,presencial,pagos presencial,4830021
banco de bogota,alumbrado publico,n,pagos web,4820642
"popular bank ltd., inc.",impuesto predial,p,pagos web,4780286
credito s.a.,impuesto predial,p,pagos web,4759190
branch banking and trust compa,impuesto predial,p,pagos web,4741176
merrill lynch bank usa,impuesto predial,p,pagos web,4732071
bogota_1,impuesto telefonico,presencial,pagos presencial,4719879
pse - cuentas débito ahorro y,impuesto predial,p,pagos web,4713316
bancolombia cayman,impuesto predial,a,pagos web,4712385
banco av villas s.a.,delineación urbana,p,pagos web,4709000
dz bank ag,impuesto predial,p,pagos web,4701782
toronto-dominion bank,impuesto predial,n,pagos web,4654125
firstbank,impuesto predial,p,pagos web,4636416
"rappipay, s.a.s.",alumbrado publico,p,pagos web,4635528
bayerische landesbank,impuesto predial,p,pagos web,4629306
banco finandina s.a. bic,industria y comercio,n,pagos web,4613667
aruba bank n.v.,impuesto predial,n,pagos web,4610471
delta community c.u.,impuesto predial,n,pagos web,4590861
national westminster bank plc,impuesto predial,p,pagos web,4572773
